 AKTV,#genre#
Animax (HK),http://s1.an94tv.cfd/aktv/animaxhk/AKTV.m3u8
AXN,http://s1.an94tv.cfd/aktv/axn/AKTV.m3u8
TVB Plus,http://s1.an94tv.cfd/aktv/tvbplus/AKTV.m3u8
天映經典(1080),http://s1.an94tv.cfd/aktv/1080/AKTV.m3u8
明珠剧集台(北美),http://s1.an94tv.cfd/aktv/CH-19/AKTV.m3u8
明珠台,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
無線新聞台,http://s1.an94tv.cfd/aktv/CH-1/AKTV.m3u8
美亞電影台(HK),http://s1.an94tv.cfd/aktv/hk/AKTV.m3u8
翡翠剧集台(北美),http://s1.an94tv.cfd/aktv/CH-18/AKTV.m3u8
翡翠台,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
鳳凰衛視中文台,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視資訊台,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
鳳凰衛視香港台,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
黃金翡翠台,http://s1.an94tv.cfd/aktv/CH-6/AKTV.m3u8
天映电影,http://s1.an94tv.cfd/aktv2/CH-3/AKTV.m3u8
好萊塢電影台,http://s1.an94tv.cfd/aktv2/CH-1/AKTV.m3u8
東森電影,https://s1.m16tv.cfd/aktv2/CH-1/AKTV.m3u8
緯來體育台,http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
中天亚洲台,http://s1.an94tv.cfd/astro/CH-1/AKTV.m3u8
靖天國際台,http://s1.an94tv.cfd/taiwan/CH-3/AKTV.m3u8
TVBS,http://s1.an94tv.cfd/taiwan/tvbs/AKTV.m3u8
民視,http://s1.an94tv.cfd/taiwan/CH-1/AKTV.m3u8
民視新聞,http://s1.an94tv.cfd/zhongtian/CH-5/AKTV.m3u8
TVB 星河,http://s1.an94tv.cfd/taiwan2/tvb/AKTV.m3u8
TVBS新聞,http://s1.an94tv.cfd/taiwan/tvbs-1/AKTV.m3u8
中天新闻台,http://s1.an94tv.cfd/zhongtian/CH-0/AKTV.m3u8
東森新聞,http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8
三立LIVE,http://s1.an94tv.cfd/zhongtian/live/AKTV.m3u8
寰宇新聞,http://s1.an94tv.cfd/zhongtian/CH-2/AKTV.m3u8
中視新聞,http://s1.an94tv.cfd/zhongtian/CH-3/AKTV.m3u8
台視新聞,http://s1.an94tv.cfd/zhongtian/CH-4/AKTV.m3u8

  央视频道,#genre#
CCTV1,https://mursor.ottiptv.cc/migu/608807420.m3u8?migutoken=93cdd07826abb2cad3192fd979a94316593c9b2595c61091184f5a5158c2eb3dec0d0d09a4d1169ff31158ae0594ad054fd35931f8a5690b90a7b1f5adb5f2c9137583bdedea8ce40bc1223eaf
CCTV2,https://mursor.ottiptv.cc/migu/631780532.m3u8?migutoken=992613ff1de6332a6b666b01d19aaa50a3c6718a60ce2eba189ec237717aa961f8ab68d65e941572656e321ad52b58f9d25a3efe4a1d3bd9930a0bf962d97bbd42efe1c5555d315089949b5ea0
